"sep=;"
Filepath;Error_msg;32;project;other project;third project;maybe;Found
A:\$RECYCLE.BIN\S-...\$R59GSHE.xls;;True;False;False;False;False;1
A:\$RECYCLE.BIN\S-...\$RG3W3ZQ.xls;;True;False;False;False;False;1
